Name,City,State,Latitude,Longitude,Source
"ACER Nitro 5 (AN515-52-76YJ) schwarz Gaming-Notebook 15,6 Zoll FHD 8GB",Ronnenberg,Niedersachsen,52.3166623,9.6532075,eBay
"MacBook Pro (Retina 15 Zoll, Anfang 2013), 8 GB RAM, 2,4 GHz, 250 GGB SSD, A1398",Warstein,Nordrhein-Westfalen,51.4458105,8.3536824,eBay
"MacBook Pro 13"" 2016 Touch Bar, generalüberholt ",Hannover,Niedersachsen,52.3744779,9.7385532,eBay
"HP Pavillion Notebook, 17"", 16GB, AMD A8-6410 APU, 500GB-SSD, Win10-Prof-64b",Paderborn,Nordrhein-Westfalen,51.7177044,8.752653,eBay
"Laptop Acer Extensa 5635*15,6 Zoll*Intel Core 2 Duo 2,2*4GB RAM*250GB HDD*WLANn*",Bückeburg,Niedersachsen,52.2611037,9.0488959,eBay
Notebook HP G62 Intel Core i3 CPU 240GB SSD 4 GB RAM Windows 10 Pro,Harsewinkel,Nordrhein-Westfalen,51.9617153,8.2252425,eBay
Notebook HP Pavilion G6-1210SG Laptop 4GB 500GB Festplatte Windows 10,Enger,Nordrhein-Westfalen,52.1394015,8.5588818,eBay
Fujitsu Stylistic R727 Tablet - 8GB Ram - 256GB M2 SSD,Salzhemmendorf,Niedersachsen,52.0681341,9.5878533,eBay
Business - Notebook HP ProBook 4535s Windows 10 aktiviert - Akku ALU - Gehäuse !,Ostbevern,Nordrhein-Westfalen,52.0362198,7.8400336,eBay
Notebook/Laptop Lenovo SL510 . Windows10 PRO. HDMI. Neuer Akku!,Hannover,Niedersachsen,52.3744779,9.7385532,eBay
HP ZBook X2 G4,Ladbergen,Nordrhein-Westfalen,52.1363237,7.7391678,eBay
mac book air 2020,Soest,Nordrhein-Westfalen,51.5725501,8.1061259,eBay
"Apple MacBook Pro Touchbar 15"" i7 2,6 Ghz 16 GB Ram 256 GB SSD A1707",Möhnesee,Nordrhein-Westfalen,51.5,8.13333,eBay
"Acer Nitro 5 AN515-54 15,6 Zoll (512GB SSD, Intel Core i5 9. Gen 4,10GHz, 8GB) …",Soest,Nordrhein-Westfalen,51.5725501,8.1061259,eBay
HP 15s-eq0355ng / Ryzen 3500U / 8GB Ram/ 512GB SSD,Steinhagen,Mecklenburg-Vorpommern,53.8436425,11.929235,eBay
