itemId,title,globalId,primaryCategory/categoryId,primaryCategory/categoryName,galleryURL,viewItemURL,paymentMethod/0,autoPay,postalCode,location,country,shippingInfo/shippingServiceCost/_,shippingInfo/shippingServiceCost/$/currencyId,shippingInfo/shippingType,shippingInfo/shipToLocations,sellingStatus/currentPrice/_,sellingStatus/currentPrice/$/currencyId,sellingStatus/convertedCurrentPrice/_,sellingStatus/convertedCurrentPrice/$/currencyId,sellingStatus/bidCount,sellingStatus/sellingState,sellingStatus/timeLeft,listingInfo/bestOfferEnabled,listingInfo/buyItNowAvailable,listingInfo/startTime,listingInfo/endTime,listingInfo/listingType,listingInfo/gift,listingInfo/watchCount,distance/_,distance/$/unit,condition/conditionId,condition/conditionDisplayName,isMultiVariationListing,topRatedListing,eBayPlusEnabled,paymentMethod/1,paymentMethod/2,paymentMethod/3,galleryPlusPictureURL,listingInfo/buyItNowPrice/_,listingInfo/buyItNowPrice/$/currencyId,listingInfo/convertedBuyItNowPrice/_,listingInfo/convertedBuyItNowPrice/$/currencyId,productId/_,productId/$/type,paymentMethod/4,subtitle
233800267763,"ACER Nitro 5 (AN515-52-76YJ) schwarz Gaming-Notebook 15,6 Zoll FHD 8GB",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mGjbKrN1YS5AMOBziPOOR0Q/140.jpg,https://www.ebay.de/itm/ACER-Nitro-5-AN515-52-76YJ-schwarz-Gaming-Notebook-15-6-Zoll-FHD-8GB-/233800267763,PayPal,false,309**,"Ronnenberg,Deutschland",DE,8.49,EUR,Flat,Worldwide,551.0,EUR,551.0,EUR,59,Active,P0DT0H25M19S,false,false,2020-11-28T14:51:13.000Z,2020-12-05T14:51:13.000Z,Auction,false,40,60.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,
184560017711,"MacBook Pro (Retina 15 Zoll, Anfang 2013), 8 GB RAM, 2,4 GHz, 250 GGB SSD, A1398",EBAY-DE,111422,Apple Notebooks,https://thumbs4.ebaystatic.com/m/msQghnuTeuZlmZXceZazrtQ/140.jpg,https://www.ebay.de/itm/MacBook-Pro-Retina-15-Zoll-Anfang-2013-8-GB-RAM-2-4-GHz-250-GGB-SSD-A1398-/184560017711,CIPInCheckoutEnabled,false,595**,"Warstein,Deutschland",DE,6.49,EUR,Flat,Worldwide,302.0,EUR,302.0,EUR,4,Active,P0DT0H55M12S,false,false,2020-11-30T15:21:06.000Z,2020-12-05T15:21:06.000Z,Auction,false,33,100.0,km,3000,Gebraucht,false,false,false,PayPal,MoneyXferAccepted,,,,,,,,,,
154228405289,"MacBook Pro 13"" 2016 Touch Bar, generalüberholt ",EBAY-DE,111422,Apple Notebooks,https://thumbs2.ebaystatic.com/m/mcAnWzSkfH33cu7jVAmbjJw/140.jpg,https://www.ebay.de/itm/MacBook-Pro-13-2016-Touch-Bar-generaluberholt-/154228405289,CIPInCheckoutEnabled,false,305**,"Hannover,Deutschland",DE,5.99,EUR,Flat,Worldwide,920.0,EUR,920.0,EUR,,Active,P30DT23H55M9S,true,false,2020-12-05T14:21:03.000Z,2021-01-05T14:21:03.000Z,FixedPrice,false,,70.0,km,2000,Vom Hersteller generalüberholt,false,false,false,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,,,,
133590834366,"HP Pavillion Notebook, 17"", 16GB, AMD A8-6410 APU, 500GB-SSD, Win10-Prof-64b",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/mYOU7Bg7hJ29hhBZypZAhUw/140.jpg,https://www.ebay.de/itm/HP-Pavillion-Notebook-17-16GB-AMD-A8-6410-APU-500GB-SSD-Win10-Prof-64b-/133590834366,PayPal,false,331**,"Paderborn,Deutschland",DE,5.99,EUR,Flat,Worldwide,269.89,EUR,269.89,EUR,53,Active,P0DT0H57M0S,false,false,2020-11-28T15:22:54.000Z,2020-12-05T15:22:54.000Z,Auction,false,57,70.0,km,2500,Vom Verkäufer generalüberholt,false,false,false,,,,,,,,,,,,
383843713150,"Laptop Acer Extensa 5635*15,6 Zoll*Intel Core 2 Duo 2,2*4GB RAM*250GB HDD*WLANn*",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/m17lV-3vKDLAezl7WTiVp2Q/140.jpg,https://www.ebay.de/itm/Laptop-Acer-Extensa-5635-15-6-Zoll-Intel-Core-2-Duo-2-2-4GB-RAM-250GB-HDD-WLANn-/383843713150,,false,316**,"Bückeburg,Deutschland",DE,7.5,EUR,Flat,Worldwide,89.95,EUR,89.95,EUR,,Active,P30DT22H10M19S,true,false,2020-12-05T12:36:13.000Z,2021-01-05T12:36:13.000Z,FixedPrice,false,2,20.0,km,3000,Gebraucht,false,true,false,,,,,,,,,,,,
133592573372,Notebook HP G62 Intel Core i3 CPU 240GB SSD 4 GB RAM Windows 10 Pro,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs1.ebaystatic.com/m/mLkdParVWrAI2j85k0c9emA/140.jpg,https://www.ebay.de/itm/Notebook-HP-G62-Intel-Core-i3-CPU-240GB-SSD-4-GB-RAM-Windows-10-Pro-/133592573372,CIPInCheckoutEnabled,false,334**,"Harsewinkel,Deutschland",DE,6.99,EUR,Flat,Worldwide,73.0,EUR,73.0,EUR,15,Active,P0DT0H49M59S,false,false,2020-11-30T15:15:53.000Z,2020-12-05T15:15:53.000Z,Auction,false,28,60.0,km,3000,Gebraucht,false,false,false,CashOnPickup,MoneyXferAccepted,,,,,,,,,,
143873502370,Notebook HP Pavilion G6-1210SG Laptop 4GB 500GB Festplatte Windows 10,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/mDNTqsbAPGsnvrmH8r14v9Q/140.jpg,https://www.ebay.de/itm/Notebook-HP-Pavilion-G6-1210SG-Laptop-4GB-500GB-Festplatte-Windows-10-/143873502370,CIPInCheckoutEnabled,false,321**,"Enger,Deutschland",DE,5.99,EUR,Flat,Worldwide,110.0,EUR,110.0,EUR,,Active,P30DT23H46M3S,true,false,2020-12-05T14:11:57.000Z,2021-01-05T14:11:57.000Z,FixedPrice,false,,30.0,km,3000,Gebraucht,false,false,false,CashOnPickup,PayPal,MoneyXferAccepted,https://galleryplus.ebayimg.com/ws/web/143873502370_1_0_1.jpg,,,,,,,,
174545432611,Fujitsu Stylistic R727 Tablet - 8GB Ram - 256GB M2 SSD,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mSVIeMAkg6FMalwL7lQHbuw/140.jpg,https://www.ebay.de/itm/Fujitsu-Stylistic-R727-Tablet-8GB-Ram-256GB-M2-SSD-/174545432611,CashOnPickup,false,310**,"Salzhemmendorf,Deutschland",DE,8.99,EUR,Flat,Worldwide,2.5,EUR,2.5,EUR,2,Active,P6DT1H45M40S,false,false,2020-12-04T16:11:34.000Z,2020-12-11T16:11:34.000Z,Auction,false,7,60.0,km,3000,Gebraucht,false,false,false,PayPal,,,,,,,,,,,
143867568227,Business - Notebook HP ProBook 4535s Windows 10 aktiviert - Akku ALU - Gehäuse !,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mHrRycuXXi5zvYMLyhVrZ4g/140.jpg,https://www.ebay.de/itm/Business-Notebook-HP-ProBook-4535s-Windows-10-aktiviert-Akku-ALU-Gehause-/143867568227,CIPInCheckoutEnabled,false,483**,"Ostbevern,Deutschland",DE,5.99,EUR,Flat,Worldwide,111.0,EUR,111.0,EUR,1,Active,P0DT2H35M35S,false,false,2020-11-30T17:01:29.000Z,2020-12-05T17:01:29.000Z,Auction,false,5,80.0,km,3000,Gebraucht,false,false,false,MoneyXferAccepted,,,,,,,,,,,
324405778159,Notebook/Laptop Lenovo SL510 . Windows10 PRO. HDMI. Neuer Akku!,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mrmFNfPaRyh4Y2vg7FzN52g/140.jpg,https://www.ebay.de/itm/Notebook-Laptop-Lenovo-SL510-Windows10-PRO-HDMI-Neuer-Akku-/324405778159,CIPInCheckoutEnabled,false,301**,"Hannover,Deutschland",DE,6.0,EUR,Flat,Worldwide,129.99,EUR,129.99,EUR,0,Active,P0DT23H38M12S,true,false,2020-12-05T14:04:06.000Z,2020-12-06T14:04:06.000Z,Auction,false,,60.0,km,3000,Gebraucht,false,false,false,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,,,,
