Name,Latitude,Longitude,Source,State,City
Computer Service Dröge,52.279037,8.902915,Foursquare,Nordrhein-Westfalen,Minden
TM Computer e.K. - Thomas Müller (Büro),52.15775752422116,8.63429950693619,Foursquare,Nordrhein-Westfalen,Hiddenhausen
TM Computer e.K.,52.116941302856596,8.67265034442815,Foursquare,Nordrhein-Westfalen,Herford-Stadt
Schormann-Computer,52.18319156583845,8.874798774686496,Foursquare,Nordrhein-Westfalen,Vlotho
4you-computer.de,52.24314880371094,8.840249061584473,Foursquare,Nordrhein-Westfalen,Bad Oeynhausen
Computer-Service-Biehler,52.0897448,8.731025300000056,Foursquare,Nordrhein-Westfalen,Bad Salzuflen
HSE Computersysteme,52.205232,8.923579,Foursquare,Nordrhein-Westfalen,Porta Westfalica
Computer Extertal,52.078748,9.1089216,Foursquare,Nordrhein-Westfalen,-
Computertechnik Lübbecke,52.309522,8.5951562,Foursquare,Nordrhein-Westfalen,Lübbecke
Entrance Computer MICROTREND,52.163711,8.623475,Foursquare,Nordrhein-Westfalen,Hiddenhausen
Computercentrum Bünde,52.20063304940525,8.571535592850884,Foursquare,Nordrhein-Westfalen,Bünde
Computercentrum Lübbecke,52.19939041137695,8.573267936706543,Foursquare,Nordrhein-Westfalen,Bünde
Thomas Moosmayer Computer-Systeme,52.14703917681872,8.617465496063232,Foursquare,Nordrhein-Westfalen,Hiddenhausen
Computer Technik Barsinghausen,52.302589,9.462374,Foursquare,Niedersachsen,Barsinghausen
Computer Corner,52.029414,8.534305,Foursquare,Nordrhein-Westfalen,Bielefeld
Computer & Smartphone Center,52.03702000000001,8.485270000000014,Foursquare,Nordrhein-Westfalen,Bielefeld
HSBV Computer,52.307827,8.423542,Foursquare,Niedersachsen,Bad Essen
Reformat Computer,52.09237978547865,8.524905145168304,Foursquare,Nordrhein-Westfalen,Bielefeld
bpm-computer,52.104182478852444,9.354633043732278,Foursquare,Niedersachsen,Hameln
2nd Computer,52.027793884277344,8.5181245803833,Foursquare,Nordrhein-Westfalen,Bielefeld
Sicom Computer & Communication e.K.,52.27848400142351,8.087139129638672,Foursquare,Niedersachsen,Osnabrück
Ai-Lo Computer & Service,52.376553794870645,9.729436933994293,Foursquare,Niedersachsen,Hannover
Marktkauf Wunstorf,52.4308421,9.4184926,Foursquare,Niedersachsen,Wunstorf
Apple & Windows Computer-Shop,52.266929626464844,8.053070068359375,Foursquare,Niedersachsen,Osnabrück
Computer Electronics,52.39456519254644,9.651325643062592,Foursquare,Niedersachsen,Seelze
pco Personal Computer Organisation,52.28955937485052,8.034874801899571,Foursquare,Niedersachsen,Osnabrück
Hoffmann Computer,52.44803251177603,9.570679664611816,Foursquare,Niedersachsen,Garbsen
MF Computer Service,51.88165041253712,8.243360370397568,Foursquare,Nordrhein-Westfalen,-
SCHELL Computer- & Handyservice,52.6068072,8.369313000000034,Foursquare,Niedersachsen,Diepholz
Indivi Co Computer &Hardware Shop,51.8778907,9.19719035,Foursquare,Nordrhein-Westfalen,-
